part_number,price,base_url
EB24,Price not found,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
Type,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
"Straight Bore
EBSS
EB
EBD
EBC
EBSZ
EBM
EBPE",234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
14,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
16,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
18,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
19,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
20,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
22,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
24,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
26,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
30,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
35,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
40,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
45,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
50,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
EB13,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
EB14,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
EB16,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
EB18,234171 VND,https://vn.misumi-ec.com/vona2/detail/110302648470/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
